Always bear in mind that your own resolution to succeed is more important than any one thing. | Abraham Lincoln
I believe that a simple and unassuming manner of life is best for everyone, best both for the body and the mind. | Albert Einstein
One who gains strength by overcoming obstacles possesses the only strength which can overcome adversity. | Albert Schweitzer
Trust only movement. Life happens at the level of events, not of words. Trust movement. | Alfred Adler
There are two ways to slide easily through life: to believe everything or to doubt everything; both ways save us from thinking. | Alfred Korzybski
I know but one freedom and that is the freedom of the mind. | Antoine de Saint-Exupery
Discover the great ideas that lie inside you by discovering the power of sleep. | Arianna Huffington
It is the mark of an educated mind to be able to entertain a thought without accepting it. | Aristotle
The energy of the mind is the essence of life. | Aristotle
When I dare to be powerful, to use my strength in the service of my vision, then it becomes less and less important whether I am afraid. | Audre Lorde
Trust yourself. You know more than you think you do. | Benjamin Spock
Trust your own instinct. Your mistakes might as well be your own, instead of someone else's. | Billy Wilder
Whatever we expect with confidence becomes our own self-fulfilling prophecy. | Brian Tracy
Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it. | Bruce Lee
Do not pray for an easy life, pray for the strength to endure a difficult one | Bruce Lee
The mind is everything. What you think you become. | Buddha
In separateness lies the world's great misery, in compassion lies the world's true strength. | Buddha
Do not overrate what you have received, nor envy others. He who envies others does not obtain peace of mind. | Buddha
To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear. | Buddha
All that we are is the result of what we have thought. The mind is everything. What we think we become. | Buddha
In the sky, there is no distinction of east and west; people create distinctions out of their own minds and then believe them to be true. | Buddha
We are shaped by our thoughts; we become what we think. When the mind is pure, joy follows like a shadow that never leaves. | Buddha
I do not believe in a fate that falls on men however they act; but I do believe in a fate that falls on them unless they act. | Buddha
Remembering a wrong is like carrying a burden on the mind. | Buddha
Many people think of prosperity that concerns money only to forget that true prosperity is of the mind. | Byron Pulsifer
You can be what you want to be. You have the power within and we will help you always. | Byron Pulsifer
You can't trust without risk but neither can you live in a cocoon. | Byron Pulsifer
Strength to carry on despite the odds means you have faith in your own abilities and know how. | Byron Pulsifer
Bold is not the act of foolishness but the attribute and inner strength to act when others will not so as to move forward not backward. | Byron Pulsifer
It is not the mistake that has the most power, instead, it is learning from the mistake to advance your own attributes. | Byron Roberts
A man who doesn't trust himself can never really trust anyone else. | Cardinal Retz
Flow with whatever is happening and let your mind be free. Stay centred by accepting whatever you are doing. This is the ultimate. | Chuang Tzu
I believe that we are fundamentally the same and have the same basic potential. | Dalai Lama
More often than not, anger is actually an indication of weakness rather than of strength. | Dalai Lama
With the realization of ones own potential and self-confidence in ones ability, one can build a better world. | Dalai Lama
With realization of ones own potential and self-confidence in ones ability, one can build a better world. | Dalai Lama
The greatest antidote to insecurity and the sense of fear is compassion it brings one back to the basis of one's inner strength | Dalai Lama
Compassion and happiness are not a sign of weakness but a sign of strength. | Dalai Lama
The greatest antidote to insecurity and the sense of fear is compassion - it brings one back to the basis of one's inner strength | Dalai Lama
We cannot change our memories, but we can change their meaning and the power they have over us. | David Seamans
One must be fond of people and trust them if one is not to make a mess of life. | E. M. Forster
The past has no power to stop you from being present now. Only your grievance about the past can do that. | Eckhart Tolle
The greater part of human pain is unnecessary. It is self-created as long as the unobserved mind runs your life. | Eckhart Tolle
No one can make you feel inferior without your consent. | Eleanor Roosevelt
Do one thing every day that scares you. | Eleanor Roosevelt
The future belongs to those who believe in the beauty of their dreams. | Eleanor Roosevelt
I think somehow we learn who we really are and then live with that decision. | Eleanor Roosevelt
Friendship with oneself is all important because without it one cannot be friends with anybody else in the world. | Eleanor Roosevelt
Remember always that you not only have the right to be an individual, you have an obligation to be one. | Eleanor Roosevelt
People grow through experience if they meet life honestly and courageously. This is how character is built. | Eleanor Roosevelt
It is not fair to ask of others what you are unwilling to do yourself. | Eleanor Roosevelt
You must do the things you think you cannot do. | Eleanor Roosevelt
I believe that we are solely responsible for our choices, and we have to accept the consequences of every deed, word, and thought throughout our lifetime. | Elisabeth Kubler-Ross
The truest greatness lies in being kind, the truest wisdom in a happy mind. | Ella Wilcox
