Experience is not what happens to a man. It is what a man does with what happens to him. | Aldous Huxley
No person is your friend who demands your silence, or denies your right to grow. | Alice Walker
From little acorns mighty oaks do grow. | American proverb
While we try to teach our children all about life, our children teach us what life is all about. | Angela Schwindt
Your ability to learn faster than your competition is your only sustainable competitive advantage. | Arie de Gues
Life's challenges are not supposed to paralyse you, they're supposed to help you discover who you are. | Bernice Johnson Reagon
Life's challenges are not supposed to paralyze you, they're supposed to help you discover who you are. | Bernice Johnson Reagon
We must learn our limits. We are all something, but none of us are everything. | Blaise Pascal
You can only grow if you're willing to feel awkward and uncomfortable when you try something new. | Brian Tracy
The best teacher is experience learned from failures. | Byron Pulsifer
Fear of failure is one attitude that will keep you at the same point in your life. | Byron Pulsifer
Experience can only be gained by doing not by thinking or dreaming. | Byron Pulsifer
Learning is a treasure that will follow its owner everywhere | Chinese proverb
We must not say every mistake is a foolish one. | Cicero
No day in which you learn something is a complete loss. | David Eddings
Happiness cannot be travelled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace and gratitude. | Denis Waitley
Do not give your attention to what others do or fail to do; give it to what you do or fail to do. | Dhammapada
Human beings, who are almost unique in having the ability to learn from the experience of others, are also remarkable for their apparent disinclination to do so. | Douglas Adams
Whenever something negative happens to you, there is a deep lesson concealed within it. | Eckhart Tolle
The universe is full of magical things, patiently waiting for our wits to grow sharper. | Eden Phillpotts
Nobody made a greater mistake than he who did nothing because he could do only a little. | Edmund Burke
There is no failure except in no longer trying. | Elbert Hubbard
A failure is a man who has blundered but is not capable of cashing in on the experience. | Elbert Hubbard
The greatest mistake you can make in life is to be continually fearing you will make one. | Elbert Hubbard
The cure for boredom is curiosity. There is no cure for curiosity. | Ellen Parr
There is one thing you have got to learn about our movement. Three people are better than no people. | Fannie Hamer
As we risk ourselves, we grow. Each new experience is a risk. | Fran Watson
Learn to listen. Opportunity could be knocking at your door very softly. | Frank Tyger
If you want to study yourself look into the hearts of other people. If you want to study other people look into your own heart. | Friedrich von Schiller
If you want to study yourself, look into the hearts of other people. If you want to study other people, look into your own heart. | Friedrich von Schiller
We don't stop playing because we grow old; we grow old because we stop playing. | George Bernard Shaw
We do not quit playing because we grow old, we grow old because we quit playing. | George Bernard Shaw
Those who cannot learn from history are doomed to repeat it. | George Santayan
It is not so important to know everything as to appreciate what we learn. | Hannah More
Absence makes the heart grow fonder. | Haynes Bayly
We can only learn to love by loving. | Iris Murdoch
A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value. | Isaac Asimov
Good timber does not grow with ease; the stronger the wind, the stronger the trees. | J. Willard Marriott
Without some goals and some efforts to reach it, no man can live. | John Dewey
Conflict is the gadfly of thought. It stirs us to observation and memory. It instigates to invention. It shocks us out of sheep-like passivity, and sets us at noting and contriving. | John Dewey
Arriving at one point is the starting point to another. | John Dewey
Every great advance in science has issued from a new audacity of the imagination. | John Dewey
Love is the flower you've got to let grow. | John Lennon
The only real mistake is the one from which we learn nothing. | John Powell
It is a common experience that a problem difficult at night is resolved in the morning after the committee of sleep has worked on it. | John Steinbeck
If we could learn to like ourselves, even a little, maybe our cruelties and angers might melt away. | John Steinbeck
Never mistake activity for achievement. | John Wooden
You can't stop the waves, but you can learn to surf. | Jon Kabat-Zinn
Discovery consists of seeing what everybody has seen and thinking what nobody else has thought. | Jonathan Swift
He who has imagination without learning has wings but no feet. | Joseph Joubert
It is through science that we prove, but through intuition that we discover. | Jules Poincare
We choose our joys and sorrows long before we experience them. | Kahlil Gibran
Life is change. Growth is optional. Choose wisely. | Karen Clark
We learn what we have said from those who listen to our speaking. | Kenneth Patton
Don't smother each other. No one can grow in the shade. | Leo F. Buscaglia
Nothing strengthens authority so much as silence. | Leonardo da Vinci
I have been impressed with the urgency of doing. Knowing is not enough; we must apply. Being willing is not enough; we must do. | Leonardo da Vinci
Those who try to do something and fail are infinitely better than those who try nothing and succeed. | Lloyd Jones
I'm not afraid of storms, for I'm learning how to sail my ship. | Louisa Alcott
It is more important to know where you are going than to get there quickly. Do not mistake activity for achievement. | Mabel Newcomber
Live as if you were to die tomorrow. Learn as if you were to live forever. | Mahatma Gandhi
Education is our passport to the future, for tomorrow belongs to the people who prepare for it today. | Malcolm X
Be less curious about people and more curious about ideas. | Marie Curie
When you learn, teach. When you get, give. | Maya Angelou
The purpose of learning is growth, and our minds, unlike our bodies, can continue growing as we continue to live. | Mortimer Adler
With every experience, you alone are painting your own canvas, thought by thought, choice by choice. | Oprah Winfrey
Growth itself contains the germ of happiness. | Pearl Buck
Every great mistake has a halfway moment, a split second when it can be recalled and perhaps remedied. | Pearl Buck
When you begin to touch your heart or let your heart be touched, you begin to discover that it's bottomless. | Pema Chodron
If we learn to open our hearts, anyone, including the people who drive us crazy, can be our teacher. | Pema Chodron
The years teach much which the days never know. | Ralph Emerson
Don't turn away from possible futures before you're certain you don't have anything to learn from them. | Richard Bach
Learning is finding out what you already know. | Richard Bach
You teach best what you most need to learn. | Richard Bach
As we grow as unique persons, we learn to respect the uniqueness of others. | Robert Schuller
Failure doesn't mean you are a failure it just means you haven't succeeded yet. | Robert Schuller
We come to love not by finding a perfect person, but by learning to see an imperfect person perfectly. | Sam Keen
Our deepest wishes are whispers of our authentic selves. We must learn to respect them. We must learn to listen. | Sarah Breathnach
Try and fail, but don't fail to try. | Stephen Kaggwa
Do not be embarrassed by your mistakes. Nothing can teach us better than our understanding of them. This is one of the best ways of self-education. | Thomas Carlyle
Never regret. If it's good, it's wonderful. If it's bad, it's experience. | Victoria Holt
Maxim for life: You get treated in life the way you teach people to treat you. | Wayne Dyer
Difficulties are meant to rouse, not discourage. The human spirit is to grow strong by conflict. | William Channing
When we seek to discover the best in others, we somehow bring out the best in ourselves. | William Ward
Life is a learning experience, only if you learn. | Yogi Berra
Don't be misled by what you see in the mass media or public schools. Real education is the result of deep thought and pure intent. | Alfred A. Montapert
