A house divided against itself cannot stand. | Abraham Lincoln
Important principles may, and must, be inflexible. | Abraham Lincoln
I destroy my enemies when I make them my friends. | Abraham Lincoln
You have to do your own growing no matter how tall your grandfather was. | Abraham Lincoln
Most people are about as happy as they make up their minds to be | Abraham Lincoln
Most folks are about as happy as they make up their minds to be. | Abraham Lincoln
Give me six hours to chop down a tree and I will spend the first four sharpening the axe. | Abraham Lincoln
When you have got an elephant by the hind legs and he is trying to run away, it's best to let him run. | Abraham Lincoln
As our case is new, we must think and act anew. | Abraham Lincoln
Be sure you put your feet in the right place, then stand firm. | Abraham Lincoln
I walk slowly, but I never walk backward. | Abraham Lincoln
Most folks are as happy as they make up their minds to be. | Abraham Lincoln
I will prepare and some day my chance will come. | Abraham Lincoln
What is necessary to change a person is to change his awareness of himself. | Abraham Maslow
No act of kindness, no matter how small, is ever wasted. | Aesop
No valid plans for the future can be made by those who have no capacity for living now. | Alan Watts
Autumn is a second spring when every leaf is a flower. | Albert Camus
In the depth of winter, I finally learned that there was within me an invincible summer. | Albert Camus
Do something wonderful, people may imitate it. | Albert Schweitzer
We should all be thankful for those people who rekindle the inner spirit. | Albert Schweitzer
Wherever a man turns he can find someone who needs him. | Albert Schweitzer
Never say there is nothing beautiful in the world any more. There is always something to make you wonder in the shape of a tree, the trembling of a leaf. | Albert Schweitzer
There is only one corner of the universe you can be certain of improving, and that's your own self. | Aldous Huxley
Do good by stealth, and blush to find it fame. | Alexander Pope
Blessed is the man who expects nothing, for he shall never be disappointed. | Alexander Pope
There is nothing impossible to him who will try. | Alexander the Great
All great men are gifted with intuition. They know without reasoning or analysis, what they need to know. | Alexis Carrel
Saying thank you is more than good manners. It is good spirituality. | Alfred Painter
The happiness of a man in this life does not consist in the absence but in the mastery of his passions. | Alfred Tennyson
The art of progress is to preserve order amid change, and to preserve change amid order. | Alfred Whitehead
Some people are always grumbling because roses have thorns; I am thankful that thorns have roses. | Alphonse Karr
Speak when you are angry and you will make the best speech you will ever regret. | Ambrose Bierce
Never do things others can do and will do, if there are things others cannot do or will not do. | Amelia Earhart
I am like a falling star who has finally found her place next to another in a lovely constellation, where we will sparkle in the heavens forever. | Amy Tan
The personal life deeply lived always expands into truths beyond itself. | Anaïs Nin
Age does not protect you from love. But love, to some extent, protects you from age. | Anaïs Nin
There is not one big cosmic meaning for all, there is only the meaning we each give to our life. | Anaïs Nin
The most decisive actions of our life... are most often unconsidered actions. | André Gide
If you smile when no one else is around, you really mean it. | Andy Rooney
If we had no winter, the spring would not be so pleasant; if we did not sometimes taste of adversity, prosperity would not be so welcome. | Anne Bradstreet
All our talents increase in the using, and the every faculty, both good and bad, strengthen by exercise. | Anne Bronte
We all live with the objective of being happy; our lives are all different and yet the same. | Anne Frank
How wonderful it is that nobody need wait a single moment before starting to improve the world. | Anne Frank
No one has ever become poor by giving. | Anne Frank
Joy is the best makeup. | Anne Lamott
If one is estranged from oneself, then one is estranged from others too. If one is out of touch with oneself, then one cannot touch others. | Anne Lindbergh
Life is a process. We are a process. The universe is a process. | Anne Schaef
Trusting our intuition often saves us from disaster. | Anne Wilson Schaef
How we spend our days is, of course, how we spend our lives. | Annie Dillard
Listen to your intuition. It will tell you everything you need to know. | Anthony D'Angelo
It is only with the heart that one can see rightly, what is essential is invisible to the eye. | Antoine de Saint-Exupery
Love does not consist of gazing at each other, but in looking together in the same direction. | Antoine de Saint-Exupery
Every man takes the limits of his own field of vision for the limits of the world. | Arthur Schopenhauer
The world is a book, and those who do not travel read only a page. | Augustinus Sanctus
Yesterday is history. Tomorrow is a mystery. And today? Today is a gift. That is why we call it the present. | Babatunde Olatunji
Yesterdays home runs don't win today's games. | Babe Ruth
If you're walking down the right path and you're willing to keep walking, eventually you'll make progress. | Barack Obama
Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled. | Barack Obama
The first step to getting the things you want out of life is this: decide what you want. | Ben Stein
We cannot hold a torch to light another's path without brightening our own. | Ben Sweetland
The greatest good you can do for another is not just to share your riches but to reveal to him his own. | Benjamin Disraeli
The greatest good you can do for another is not just share your riches, but reveal to them their own. | Benjamin Disraeli
Ignorance never settle a question. | Benjamin Disraeli
We make our own fortunes and we call them fate. | Benjamin Disraeli
Yesterday I dared to struggle. Today I dare to win. | Bernadette Devlin
The happiness that is genuinely satisfying is accompanied by the fullest exercise of our faculties and the fullest realization of the world in which we live. | Bertrand Russell
It is easier to live through someone else than to become complete yourself. | Betty Friedan
We must not allow ourselves to become like the system we oppose. | Bishop Desmond Tutu
Man is equally incapable of seeing the nothingness from which he emerges and the infinity in which he is engulfed. | Blaise Pascal
Imagination disposes of everything; it creates beauty, justice, and happiness, which are everything in this world. | Blaise Pascal
We are all something, but none of us are everything. | Blaise Pascal
Set your goals high, and don't stop till you get there. | Bo Jackson
All I can say about life is, Oh God, enjoy it! | Bob Newhart
All know the way; few actually walk it. | Bodhidharma
Excellence is to do a common thing in an uncommon way. | Booker Washington
The world cares very little about what a man or woman knows; it is what a man or woman is able to do that counts. | Booker Washington
No yesterdays are ever wasted for those who give themselves to today. | Brendan Francis
Goals are the fuel in the furnace of achievement. | Brian Tracy
You have within you, right now, everything you need to deal with whatever the world can throw at you. | Brian Tracy
Creativity doesn't wait for that perfect moment. It fashions its own perfect moments out of ordinary ones. | Bruce Garrabrandt
Notice that the stiffest tree is most easily cracked, while the bamboo or willow survives by bending with the wind. | Bruce Lee
Take no thought of who is right or wrong or who is better than. Be not for or against. | Bruce Lee
Take things as they are. Punch when you have to punch. Kick when you have to kick. | Bruce Lee
I'm not in this world to live up to your expectations and you're not in this world to live up to mine. | Bruce Lee
As you think, so shall you become. | Bruce Lee
To hell with circumstances; I create opportunities. | Bruce Lee
Im not in this world to live up to your expectations and you're not in this world to live up to mine. | Bruce Lee
Knowing is not enough, we must apply. Willing is not enough, we must do. | Bruce Lee
Be happy, but never satisfied. | Bruce Lee
There is nothing in a caterpillar that tells you it's going to be a butterfly. | Buckminster Fuller
You never change things by fighting the existing reality. To change something, build a new model that makes the existing model obsolete | Buckminster Fuller
Fate is in your hands and no one else's | Byron Pulsifer
What you give is what you get. | Byron Pulsifer
If you cannot be silent be brilliant and thoughtful. | Byron Pulsifer
Someone is special only if you tell them. | Byron Pulsifer
Give thanks for the rain of life that propels us to reach new horizons. | Byron Pulsifer
Transformation doesn't take place with a vacuum; instead, it occurs when we are indirectly and directly connected to all those around us. | Byron Pulsifer
Today, give a stranger a smile without waiting for it may be the joy they need to have a great day. | Byron Pulsifer
Sadness may be part of life but there is no need to let it dominate your entire life. | Byron Pulsifer
Responsibility is not inherited, it is a choice that everyone needs to make at some point in their life. | Byron Pulsifer
