If you let go a little, you will have a little peace. If you let go a lot, you will have a lot of peace. | Ajahn Chah
Well begun is half done. | Aristotle
Change in all things is sweet. | Aristotle
Happiness depends upon ourselves. | Aristotle
In all things of nature there is something of the marvellous. | Aristotle
Criticism is something you can easily avoid by saying nothing, doing nothing, and being nothing. | Aristotle
Moral excellence comes about as a result of habit. We become just by doing just acts, temperate by doing temperate acts, brave by doing brave acts. | Aristotle
If one way be better than another, that you may be sure is natures way. | Aristotle
There surely is in human nature an inherent propensity to extract all the good out of all the evil. | Benjamin Haydon
The least movement is of importance to all nature. The entire ocean is affected by a pebble. | Blaise Pascal
Peace comes from within. Do not seek it without. | Buddha
Work out your own salvation. Do not depend on others. | Buddha
He is able who thinks he is able. | Buddha
Those who are free of resentful thoughts surely find peace. | Buddha
What we think, we become. | Buddha
It is better to travel well than to arrive. | Buddha
Happiness comes when your work and words are of benefit to yourself and others. | Buddha
Just as a candle cannot burn without fire, men cannot live without a spiritual life. | Buddha
If you light a lamp for somebody, it will also brighten your path. | Buddha
Your worst enemy cannot harm you as much as your own unguarded thoughts. | Buddha
The way is not in the sky. The way is in the heart. | Buddha
You, yourself, as much as anybody in the entire universe, deserve your love and affection. | Buddha
You will not be punished for your anger, you will be punished by your anger. | Buddha
To live a pure unselfish life, one must count nothing as ones own in the midst of abundance. | Buddha
We are what we think. All that we are arises with our thoughts. With our thoughts, we make the world. | Buddha
Your work is to discover your world and then with all your heart give yourself to it. | Buddha
The foot feels the foot when it feels the ground. | Buddha
No one saves us but ourselves. No one can and no one may. We ourselves must walk the path. | Buddha
When you realize how perfect everything is you will tilt your head back and laugh at the sky. | Buddha
Thousands of candles can be lighted from a single candle, and the life of the candle will not be shortened. Happiness never decreases by being shared. | Buddha
He who experiences the unity of life sees his own Self in all beings, and all beings in his own Self, and looks on everything with an impartial eye. | Buddha
Thousands of candles can be lit from a single, and the life of the candle will not be shortened. Happiness never decreases by being shared. | Buddha
Always be mindful of the kindness and not the faults of others. | Buddha
Better than a thousand hollow words, is one word that brings peace. | Buddha
A jug fills drop by drop. | Buddha
You only lose what you cling to. | Buddha
Every human being is the author of his own health or disease. | Buddha
Your body is precious. It is our vehicle for awakening. Treat it with care. | Buddha
No matter how hard the past, you can always begin again. | Buddha
Your work is to discover your work and then with all your heart to give yourself to it. | Buddha
If we could see the miracle of a single flower clearly, our whole life would change. | Buddha
You cannot travel the path until you have become the path itself. | Buddha
Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned. | Buddha
The only real failure in life is not to be true to the best one knows. | Buddha
However many holy words you read, However many you speak, What good will they do you If you do not act on upon them? | Buddha
If you propose to speak, always ask yourself, is it true, is it necessary, is it kind. | Buddha
An idea that is developed and put into action is more important than an idea that exists only as an idea. | Buddha
Better than a thousand hollow words is one word that brings peace. | Buddha
What you are is what you have been. What you will be is what you do now. | Buddha
What you are is what you have been. What you'll be is what you do now. | Buddha
Your destiny isn't just fate; it is how you use your own developed abilities to get what you want. | Byron Pulsifer
Patience is a virtue but you will never ever accomplish anything if you don't exercise action over patience. | Byron Pulsifer
Look forward to spring as a time when you can start to see what nature has to offer once again. | Byron Pulsifer
To know your purpose is to live a life of direction, and in that direction is found peace and tranquillity. | Byron Pulsifer
Study the past, if you would divine the future. | Confucius
Silence is a true friend who never betrays. | Confucius
Think of tomorrow, the past can't be mended. | Confucius
Wherever you go, go with all your heart. | Confucius
The more you know yourself, the more you forgive yourself. | Confucius
To be wrong is nothing unless you continue to remember it. | Confucius
The cautious seldom err. | Confucius
What you do not want done to yourself, do not do to others. | Confucius
Reviewing what you have learned and learning anew, you are fit to be a teacher. | Confucius
The superior man is satisfied and composed; the mean man is always full of distress. | Confucius
It does not matter how slowly you go as long as you do not stop. | Confucius
To study and not think is a waste. To think and not study is dangerous. | Confucius
I will not be concerned at other men is not knowing me;I will be concerned at my own want of ability. | Confucius
Choose a job you love, and you will never have to work a day in your life. | Confucius
When you see a man of worth, think of how you may emulate him. When you see one who is unworthy, examine yourself. | Confucius
When it is obvious that the goals cannot be reached, don't adjust the goals, adjust the action steps. | Confucius
I am not bothered by the fact that I am unknown. I am bothered when I do not know others. | Confucius
The superior man is modest in his speech, but exceeds in his actions. | Confucius
Silence is the true friend that never betrays. | Confucius
