The best thing about the future is that it only comes one day at a time. | Abraham Lincoln
Winners have simply formed the habit of doing things losers don't like to do. | Albert Gray
Constant kindness can accomplish much. As the sun makes ice melt, kindness causes misunderstanding, mistrust, and hostility to evaporate. | Albert Schweitzer
Learn all you can from the mistakes of others. You won't have time to make them all yourself. | Alfred Sheinwold
You learn to speak by speaking, to study by studying, to run by running, to work by working; in just the same way, you learn to love by loving. | Anatole France
One does not discover new lands without consenting to lose sight of the shore for a very long time. | André Gide
They say that time changes things, but you actually have to change them yourself. | Andy Warhol
Change will not come if we wait for some other person or some other time. We are the ones we've been waiting for. We are the change that we seek. | Barack Obama
Don't wait for your feelings to change to take the action. Take the action and your feelings will change. | Barbara Baron
Action may not always bring happiness; but there is no happiness without action. | Benjamin Disraeli
Action may not always bring happiness, but there is no happiness without action. | Benjamin Disraeli
Kind words do not cost much. Yet they accomplish much. | Blaise Pascal
There is never enough time to do everything, but there is always enough time to do the most important thing. | Brian Tracy
If you spend too much time thinking about a thing, you'll never get it done. | Bruce Lee
To know oneself is to study oneself in action with another person. | Bruce Lee
If you love life, don't waste time, for time is what life is made up of. | Bruce Lee
What you fear is that which requires action to overcome. | Byron Pulsifer
To give hope to someone occurs when you teach them how to use the tools to do it for themselves. | Byron Pulsifer
Wishes can be your best avenue of getting what you want when you turn wishes into action. Action moves your wish to the forefront from thought to reality. | Byron Pulsifer
Time is not a measure the length of a day or month or year but more a measure of what you have accomplished. | Byron Pulsifer
Complaining doesn't change a thing only taking action does. | Byron Pulsifer
Spring is a time for rebirth and the fulfilment of new life. | Byron Pulsifer
When anger use your energy to do something productive. | C. Pulsifer
Without this playing with fantasy no creative work has ever yet come to birth. The debt we owe to the play of the imagination is incalculable. | Carl Jung
The trick is in what one emphasizes. We either make ourselves miserable, or we make ourselves happy. The amount of work is the same. | Carlos Castaneda
Silence is deep as Eternity, Speech is shallow as Time. | Carlyle
You cannot change anything in your life with intention alone, which can become a watered-down, occasional hope that you'll get to tomorrow. Intention without action is useless. | Caroline Myss
You can adopt the attitude there is nothing you can do, or you can see the challenge as your call to action. | Catherine Pulsifer
Error is discipline through which we advance. | Channing
The greatest pleasure I know is to do a good action by stealth, and to have it found out by accident. | Charles Lamb
The first duty of a human being is to assume the right functional relationship to society more briefly, to find your real job, and do it. | Charlotte Perkins Gilman
The first duty of a human being is to assume the right functional relationship to society - more briefly, to find your real job, and do it. | Charlotte Perkins Gilman
The key to transforming our hearts and minds is to have an understanding of how our thoughts and emotions work. | Dalai Lama
