

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.091  000.087: event init
000.163  000.072: early init
000.203  000.040: locale set
000.233  000.030: init first window
000.459  000.226: inits 1
000.467  000.008: window checked
000.470  000.003: parsing arguments
000.806  000.054  000.054: require('vim.shared')
000.890  000.030  000.030: require('vim._meta')
000.891  000.083  000.053: require('vim._editor')
000.892  000.161  000.024: require('vim._init_packages')
000.893  000.262: init lua interpreter
000.927  000.034: expanding arguments
000.968  000.041: inits 2
001.182  000.213: init highlight
001.183  000.001: waiting for UI
001.870  000.686: done waiting for UI
001.881  000.011: clear screen
001.981  000.100: init default mappings
001.992  000.011: init default autocommands
003.400  000.041  000.041: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
003.622  000.022  000.022: sourcing /usr/local/share/nvim/runtime/indent.vim
012.056  008.353  008.353: require('impatient')
012.113  000.047  000.047: require('impatient.profile')
012.144  000.026  000.026: require('lk/first_load')
012.314  000.042  000.042: require('packer.util')
012.366  000.220  000.178: require('packer')
012.466  000.094  000.094: require('plenary.reload')
012.657  000.104  000.104: require('packer.log')
012.768  000.044  000.044: require('packer.async')
012.855  000.042  000.042: require('packer.result')
012.859  000.088  000.045: require('packer.jobs')
012.863  000.185  000.054: require('packer.plugin_utils')
012.911  000.041  000.041: require('packer.snapshot')
013.159  000.685  000.355: require('plugins')
013.301  000.032  000.032: require('lk/utils/core')
013.325  000.129  000.097: require('lk/globals')
013.485  000.095  000.095: require('lk/disable_builtin')
014.142  000.077  000.077: require('debugprint.utils')
014.189  000.043  000.043: require('debugprint.filetypes')
014.194  000.211  000.091: require('debugprint')
014.336  000.042  000.042: require('packer.load')
014.646  000.355  000.313: require('vim.keymap')
015.188  000.323  000.323: require('numbertoggle')
015.527  000.062  000.062: require('eyeliner.utils')
015.588  000.058  000.058: require('eyeliner.config')
015.593  000.203  000.084: require('eyeliner.view')
015.595  000.278  000.075: require('eyeliner')
015.601  000.313  000.035: require('lk.plugins.eyeliner')
015.769  000.029  000.029: require('mason-core.path')
015.776  000.064  000.035: require('mason.settings')
015.876  000.058  000.058: require('mason-core.functional')
015.963  000.045  000.045: require('mason-core.functional.data')
015.966  000.080  000.035: require('mason-core.functional.function')
016.042  000.066  000.066: require('mason-core.functional.relation')
016.108  000.059  000.059: require('mason-core.functional.logic')
016.129  000.351  000.088: require('mason-core.platform')
016.131  000.447  000.032: require('mason')
016.259  000.041  000.041: require('mason-core.functional.list')
016.275  000.101  000.060: require('mason.api.command')
016.360  000.048  000.048: require('mason-core.log')
016.363  000.086  000.038: require('mason-lspconfig')
016.393  000.026  000.026: require('mason-lspconfig.settings')
016.518  000.044  000.044: require('mason-lspconfig.lspconfig_hook')
016.816  000.057  000.057: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/opt/nvim-lspconfig/plugin/lspconfig.lua
017.316  000.058  000.058: require('vim.lsp.log')
017.719  000.006  000.006: require('vim.F')
017.722  000.402  000.396: require('vim.lsp.protocol')
017.925  000.107  000.107: require('vim.lsp._snippet')
017.989  000.061  000.061: require('vim.highlight')
018.005  000.281  000.113: require('vim.lsp.util')
018.020  000.813  000.071: require('vim.lsp.handlers')
018.086  000.063  000.063: require('vim.lsp.rpc')
018.134  000.036  000.036: require('vim.lsp.sync')
018.247  000.095  000.095: require('vim.lsp.buf')
018.301  000.040  000.040: require('vim.lsp.diagnostic')
018.341  000.037  000.037: require('vim.lsp.codelens')
018.404  001.306  000.223: require('vim.lsp')
018.427  001.363  000.057: require('lk.plugins.lsp.autocmds')
018.430  001.398  000.035: require('lk.plugins.lsp.utils')
018.469  000.037  000.037: require('lk.highlights')
018.528  000.035  000.035: require('lspconfig.ui.windows')
018.722  000.118  000.118: require('vim.diagnostic')
018.730  000.199  000.081: require('lk.plugins.lsp.commands')
018.792  000.060  000.060: require('lk.plugins.lsp.handlers')
019.115  000.153  000.153: require('lspconfig.util')
019.119  000.197  000.044: require('lspconfig.configs')
019.121  000.236  000.039: require('lspconfig')
019.169  000.045  000.045: require('lspconfig.server_configurations.pyright')
019.266  000.031  000.031: require('cmp_nvim_lsp.source')
019.269  000.067  000.036: require('cmp_nvim_lsp')
020.088  000.046  000.046: require('lspconfig.server_configurations.rust_analyzer')
020.462  000.047  000.047: require('lspconfig.server_configurations.bashls')
020.759  000.044  000.044: require('lspconfig.server_configurations.tsserver')
020.968  000.045  000.045: require('lspconfig.server_configurations.vimls')
021.167  000.040  000.040: require('lspconfig.server_configurations.remark_ls')
021.363  000.042  000.042: require('lspconfig.server_configurations.cssls')
021.533  000.044  000.044: require('lspconfig.server_configurations.sumneko_lua')
021.592  000.035  000.035: require('lua-dev')
021.624  000.029  000.029: require('lua-dev.config')
021.693  000.032  000.032: require('lua-dev.util')
021.695  000.065  000.033: require('lua-dev.lsp')
023.479  000.047  000.047: require('lua-dev.sumneko')
026.356  000.059  000.059: require('lspconfig.server_configurations.dockerls')
026.566  000.049  000.049: require('lspconfig.server_configurations.clangd')
026.791  000.055  000.055: require('lspconfig.server_configurations.tailwindcss')
027.102  000.059  000.059: require('lspconfig.server_configurations.emmet_ls')
027.330  000.068  000.068: require('lspconfig.server_configurations.eslint')
027.632  000.056  000.056: require('lspconfig.server_configurations.gopls')
027.828  000.043  000.043: require('lspconfig.server_configurations.jsonls')
027.960  010.978  008.027: require('lk.plugins.lsp')
028.550  000.071  000.071: require('lsp_signature.helper')
028.566  000.169  000.099: require('lsp_signature')
028.577  000.213  000.043: require('lk.plugins.lsp.signature')
028.830  012.309  001.061: require('lspconfig.util')
028.942  000.034  000.034: require('mason-core.functional.table')
028.984  000.144  000.110: require('mason-lspconfig.mappings.server')
029.110  000.044  000.044: require('mason-core.async')
029.140  000.027  000.027: require('mason-core.async.uv')
029.145  000.114  000.044: require('mason-core.fs')
029.179  000.031  000.031: require('mason-core.optional')
029.209  000.028  000.028: require('mason-core.EventEmitter')
029.293  000.082  000.082: require('mason-registry.index')
029.302  000.315  000.060: require('mason-registry')
029.335  000.028  000.028: require('mason-lspconfig.server_config_extensions')
029.375  000.037  000.037: require('lspconfig.server_configurations.omnisharp')
029.418  000.030  000.030: require('mason-lspconfig.ensure_installed')
029.579  000.036  000.036: require('mason-core.result')
029.790  000.131  000.131: require('mason-core.process')
029.868  000.243  000.112: require('mason-core.spawn')
029.914  000.042  000.042: require('mason-core.receipt')
029.955  000.034  000.034: require('mason-core.functional.string')
030.004  000.422  000.104: require('mason-core.installer.context')
030.043  000.036  000.036: require('mason-core.installer.linker')
030.076  000.031  000.031: require('mason-core.async.control')
030.080  000.578  000.053: require('mason-core.installer')
030.123  000.042  000.042: require('mason-core.installer.handle')
030.297  000.030  000.030: require('mason-core.managers.powershell')
030.300  000.068  000.038: require('mason-core.fetch')
030.301  000.098  000.030: require('mason-core.managers.cargo.client')
030.387  000.040  000.040: require('mason-core.managers.std')
030.428  000.037  000.037: require('mason-core.managers.github.client')
030.449  000.146  000.068: require('mason-core.managers.github')
030.494  000.334  000.091: require('mason-core.managers.cargo')
030.554  000.058  000.058: require('mason-core.managers.composer')
030.609  000.053  000.053: require('mason-core.managers.gem')
030.645  000.034  000.034: require('mason-core.managers.git')
030.703  000.055  000.055: require('mason-core.managers.go')
030.769  000.064  000.064: require('mason-core.managers.luarocks')
030.835  000.058  000.058: require('mason-core.managers.npm')
030.887  000.049  000.049: require('mason-core.managers.pip3')
030.893  000.763  000.058: require('mason-core.package.version-check')
030.897  001.477  000.094: require('mason-core.package')
030.948  000.045  000.045: require('mason-registry.bash-language-server')
031.136  000.055  000.055: require('mason-registry.clangd')
031.187  000.044  000.044: require('mason-registry.dockerfile-language-server')
031.227  000.033  000.033: require('mason-registry.emmet-ls')
031.277  000.044  000.044: require('mason-registry.eslint-lsp')
031.323  000.039  000.039: require('mason-registry.gopls')
031.362  000.032  000.032: require('mason-registry.json-lsp')
031.413  000.032  000.032: require('mason-registry.pyright')
031.493  000.065  000.065: require('mason-registry.rust-analyzer')
031.583  000.074  000.074: require('mason-registry.lua-language-server')
031.635  000.037  000.037: require('mason-registry.typescript-language-server')
031.688  000.035  000.035: require('mason-registry.vim-language-server')
031.763  000.031  000.031: require('mason-core.notify')
031.796  000.030  000.030: require('mason-core.functional.number')
031.816  000.124  000.063: require('mason-lspconfig.api.command')
031.817  016.163  000.458: require('lk.plugins.mason')
031.870  000.050  000.050: require('nvim-navic')
032.042  000.023  000.023: require('mind.notify')
032.136  000.032  000.032: require('plenary.bit')
032.168  000.030  000.030: require('plenary.functional')
032.198  000.017  000.017: require('ffi')
032.209  000.164  000.085: require('plenary.path')
032.210  000.228  000.040: require('mind.data')
032.244  000.032  000.032: require('mind.indexing')
